date,open,high,low,close,adj_close,volume
2019-01-02,20.4067,21.0087,19.92,20.6747,20.6747,174879000
2019-01-03,20.4667,20.6267,19.8253,20.024,20.024,104478000
2019-01-04,20.4,21.2,20.182,21.1793,21.1793,110911500
2019-01-07,21.448,22.4493,21.1833,22.3307,22.3307,113268000
2019-01-08,22.7973,22.934,21.8013,22.3567,22.3567,105127500
2019-01-09,22.3667,22.9,22.098,22.5687,22.5687,81493500
2019-01-10,22.2933,23.026,22.1193,22.998,22.998,90846000
2019-01-11,22.806,23.2273,22.5847,23.1507,23.1507,75586500
2019-01-14,22.8253,22.8333,22.2667,22.2933,22.2933,78709500
2019-01-15,22.3333,23.2533,22.3,22.962,22.962,90849000
2019-01-16,22.9853,23.4667,22.9,23.07,23.07,70375500
2019-01-17,23.0807,23.4333,22.9433,23.154,23.154,55150500
2019-01-18,21.5333,21.8087,19.982,20.1507,20.1507,362262000
2019-01-22,20.3213,20.5333,19.7,19.928,19.928,181000500
2019-01-23,19.5,19.6333,18.7793,19.1727,19.1727,187950000
2019-01-24,18.8687,19.5787,18.6187,19.434,19.434,120183000
2019-01-25,19.626,19.9013,19.3033,19.8027,19.8027,108744000
2019-01-28,19.5273,19.8307,19.1833,19.7587,19.7587,96349500
2019-01-29,19.6847,19.904,19.4533,19.8307,19.8307,69325500
2019-01-30,20.03,20.6,19.8993,20.5847,20.5847,168754500
2019-01-31,20.0667,20.7707,19.6,20.468,20.468,188538000
2019-02-01,20.3613,21.0733,20.2333,20.814,20.814,109251000
2019-02-04,20.8653,21.02,20.1253,20.8593,20.8593,110281500
2019-02-05,20.8327,21.496,20.8167,21.4233,21.4233,101142000
2019-02-06,21.306,21.616,21.0413,21.148,21.148,75577500
2019-02-07,20.8867,20.98,20.2,20.5007,20.5007,97809000
2019-02-08,20.4553,20.4967,19.9,20.3867,20.3867,87663000
2019-02-11,20.7733,21.24,20.7,20.856,20.856,106945500
2019-02-12,21.08,21.2127,20.6413,20.7873,20.7873,82764000
2019-02-13,20.8233,20.85,20.3713,20.5447,20.5447,77124000
2019-02-14,20.2253,20.4513,20.0667,20.2513,20.2513,78012000
2019-02-15,20.3,20.5333,20.26,20.5253,20.5253,58573500
2019-02-19,20.4373,20.7693,20.3647,20.376,20.376,62526000
2019-02-20,20.294,20.42,19.9333,20.1707,20.1707,107131500
2019-02-21,20.1207,20.216,19.3667,19.4153,19.4153,133638000
2019-02-22,19.6327,19.7667,19.4733,19.6473,19.6473,86109000
