date,open,high,low,close,adj_close,volume
2019-01-02,51.36,53.0395,51.264,52.734,52.3017,31868000
2019-01-03,52.5335,53.313,51.1185,51.2735,50.8532,41960000
2019-01-04,52.128,54.0,51.843,53.9035,53.4616,46022000
2019-01-07,54.0485,54.135,53.132,53.796,53.355,47446000
2019-01-08,54.3,54.6675,53.4175,54.2685,53.8237,35414000
2019-01-09,54.3995,54.582,53.7185,54.0825,53.6392,26998000
2019-01-10,53.747,53.9905,53.234,53.9415,53.4993,26598000
2019-01-11,53.495,53.6685,52.8215,53.2235,52.7872,30864000
2019-01-14,52.667,52.9225,52.4275,52.5755,52.1445,28490000
2019-01-15,52.9005,54.4135,52.722,54.3255,53.8802,37518000
2019-01-16,54.5,55.118,54.4005,54.4755,54.0289,38280000
2019-01-17,54.3995,55.035,54.163,54.956,54.5055,24896000
2019-01-18,55.4295,55.9,54.964,55.365,54.9112,44892000
2019-01-22,54.8,54.9485,53.5445,53.9315,53.4894,39632000
2019-01-23,54.343,54.6475,53.3785,54.2205,53.776,25194000
2019-01-24,54.1255,54.4,53.501,54.2,53.7557,29114000
2019-01-25,54.7115,55.168,54.59,55.0755,54.624,23260000
2019-01-28,54.5035,54.6685,53.7305,53.993,53.5504,29334000
2019-01-29,54.052,54.2365,53.301,53.503,53.0644,19704000
2019-01-30,53.868,54.976,53.832,54.8995,54.4495,29452000
2019-01-31,55.612,56.3835,55.2625,56.2945,55.833,40232000
2019-02-01,56.1145,56.72,55.7125,55.931,55.4725,33116000
2019-02-04,55.9505,57.117,55.8755,57.071,56.6032,78408000
2019-02-05,56.4815,57.6385,56.18,57.5935,57.1214,82296000
2019-02-06,57.4635,57.7,55.918,56.1445,55.6843,48256000
2019-02-07,55.591,55.5995,54.6795,55.2955,54.8422,38298000
2019-02-08,54.744,55.255,54.712,55.119,54.6672,21766000
2019-02-11,55.1875,55.6715,55.0,55.106,54.6543,18498000
2019-02-12,55.5505,56.643,55.5505,56.379,55.9169,35036000
2019-02-13,56.652,57.1425,56.3,56.4315,55.9689,28042000
2019-02-14,56.25,56.8065,55.8545,56.46,55.9972,21106000
2019-02-15,56.965,56.965,55.836,55.9815,55.5226,27826000
2019-02-19,55.832,56.482,55.832,56.3255,55.8638,21980000
2019-02-20,56.444,56.5465,55.5875,56.0295,55.5702,24090000
2019-02-21,55.939,55.9575,54.899,55.2105,54.7579,33272000
2019-02-22,55.485,55.8625,55.025,55.828,55.3704,29436000
2019-02-25,56.0965,56.27,55.7055,55.8665,55.4086,26208000
2019-02-26,55.7185,56.322,55.335,56.1005,55.6406,35026000
2019-02-27,55.7005,56.2865,55.428,56.1445,55.6843,22092000
2019-02-28,55.95,56.6995,55.9205,56.3275,55.8658,27422000
2019-03-01,56.55,57.5,56.55,57.426,56.9553,34086000
2019-03-04,57.728,58.276,56.9125,57.671,57.1983,35490000
2019-03-05,57.8,58.8245,57.651,58.4595,57.9803,40094000
2019-03-06,58.588,58.737,58.1525,58.247,57.7695,23602000
2019-03-07,58.025,58.179,57.0855,57.5425,57.0708,30086000
2019-03-08,56.695,57.6725,56.51,57.4985,57.0272,23694000
2019-03-11,57.6,58.9955,57.5785,58.963,58.4797,30032000
2019-03-12,59.115,60.2855,59.115,59.8625,59.3718,42220000
2019-03-13,60.2965,60.356,59.8955,59.953,59.4616,25888000
2019-03-14,59.951,60.235,59.5615,59.6265,59.1377,27302000
2019-03-15,59.9,60.086,59.3505,59.515,59.0271,51886000
